campaign,condition_id,trial,payload,modulation,fec,repeats,inter_frame_silence,symbol_duration,frequency_zero,frequency_one,spacing_hz,noise_level,attenuation,success,ber,snr_db,airtime_s,coded_bits,payload_bytes,sync_fail,crc_fail,decode_cpu_ms,provenance
tsym,tsym_T0.070_N0.002_cpfsk_none_r1,2,HELLO,cpfsk,none,1,0.0,0.07,3000.0,8000.0,5000.0,0.002,0.6,1,0.0,73.59083185791962,7.280000000000001,104,5,0,0,414.9796310812235,SIMULATED_RX
tsym,tsym_T0.070_N0.002_cpfsk_none_r1,3,HELLO,cpfsk,none,1,0.0,0.07,3000.0,8000.0,5000.0,0.002,0.6,1,0.0,71.31053124033814,7.280000000000001,104,5,0,0,415.1294929906726,SIMULATED_RX
tsym,tsym_T0.070_N0.002_cpfsk_none_r1,4,HELLO,cpfsk,none,1,0.0,0.07,3000.0,8000.0,5000.0,0.002,0.6,1,0.0,70.63041954899728,7.280000000000001,104,5,0,0,414.8418930126354,SIMULATED_RX
tsym,tsym_T0.070_N0.002_cpfsk_none_r1,5,HELLO,cpfsk,none,1,0.0,0.07,3000.0,8000.0,5000.0,0.002,0.6,1,0.0,72.20878262223198,7.280000000000001,104,5,0,0,415.15855700708926,SIMULATED_RX
tsym,tsym_T0.070_N0.002_cpfsk_none_r1,6,HELLO,cpfsk,none,1,0.0,0.07,3000.0,8000.0,5000.0,0.002,0.6,1,0.0,75.08472135072753,7.280000000000001,104,5,0,0,414.99747207853943,SIMULATED_RX
tsym,tsym_T0.070_N0.002_cpfsk_none_r1,7,HELLO,cpfsk,none,1,0.0,0.07,3000.0,8000.0,5000.0,0.002,0.6,1,0.0,69.5925103270516,7.280000000000001,104,5,0,0,414.79917895048857,SIMULATED_RX
tsym,tsym_T0.070_N0.002_cpfsk_none_r1,8,HELLO,cpfsk,none,1,0.0,0.07,3000.0,8000.0,5000.0,0.002,0.6,1,0.0,74.19995274315261,7.280000000000001,104,5,0,0,413.4267430054024,SIMULATED_RX
tsym,tsym_T0.070_N0.002_cpfsk_none_r1,9,HELLO,cpfsk,none,1,0.0,0.07,3000.0,8000.0,5000.0,0.002,0.6,1,0.0,73.41434514118964,7.280000000000001,104,5,0,0,414.0795059502125,SIMULATED_RX
tsym,tsym_T0.070_N0.002_cpfsk_none_r1,10,HELLO,cpfsk,none,1,0.0,0.07,3000.0,8000.0,5000.0,0.002,0.6,1,0.0,80.29517057385674,7.280000000000001,104,5,0,0,414.4374639727175,SIMULATED_RX
tsym,tsym_T0.070_N0.002_cpfsk_none_r1,11,HELLO,cpfsk,none,1,0.0,0.07,3000.0,8000.0,5000.0,0.002,0.6,1,0.0,76.40268709153906,7.280000000000001,104,5,0,0,413.5314190061763,SIMULATED_RX
